timestamp_iso,status_code,latency_ms,error
2026-09-12T13:47:19.174340+00:00,201,115.48,
2026-09-12T13:47:19.193777+00:00,201,101.32,
2026-09-12T13:47:19.236812+00:00,201,93.73,
2026-09-12T13:47:19.268995+00:00,201,110.47,
2026-09-12T13:47:19.289910+00:00,201,92.61,
2026-09-12T13:47:19.295193+00:00,201,90.25,
2026-09-12T13:47:19.330626+00:00,201,87.02,
2026-09-12T13:47:19.296299+00:00,201,135.29,
2026-09-12T13:47:19.328947+00:00,201,149.21,
2026-09-12T13:47:19.361816+00:00,201,118.7,
2026-09-12T13:47:19.379559+00:00,201,169.09,
2026-09-12T13:47:19.382663+00:00,201,184.16,
2026-09-12T13:47:19.393788+00:00,201,192.56,
2026-09-12T13:47:19.417807+00:00,201,189.34,
2026-09-12T13:47:19.385525+00:00,201,269.02,
2026-09-12T13:47:19.471326+00:00,201,209.74,
2026-09-12T13:47:19.431697+00:00,201,262.74,
2026-09-12T13:47:19.478340+00:00,201,219.29,
2026-09-12T13:47:19.429939+00:00,201,272.52,
2026-09-12T13:47:19.502402+00:00,201,215.62,
2026-09-12T13:47:19.532809+00:00,201,199.14,
2026-09-12T13:47:19.548814+00:00,201,192.64,
2026-09-12T13:47:19.566945+00:00,201,199.49,
2026-09-12T13:47:19.480592+00:00,201,294.5,
2026-09-12T13:47:19.564493+00:00,201,214.92,
2026-09-12T13:47:19.586459+00:00,201,202.09,
2026-09-12T13:47:19.594155+00:00,201,213.32,
2026-09-12T13:47:19.607257+00:00,201,219.27,
2026-09-12T13:47:19.641391+00:00,201,246.68,
2026-09-12T13:47:19.654643+00:00,201,245.18,
2026-09-12T13:47:19.672658+00:00,201,258.86,
2026-09-12T13:47:19.681188+00:00,201,254.31,
2026-09-12T13:47:19.694563+00:00,201,262.56,
2026-09-12T13:47:19.697719+00:00,201,276.82,
2026-09-12T13:47:19.702576+00:00,201,276.21,
2026-09-12T13:47:19.696289+00:00,201,285.66,
2026-09-12T13:47:19.718142+00:00,201,273.57,
2026-09-12T13:47:19.732081+00:00,201,281.06,
2026-09-12T13:47:19.730057+00:00,201,288.01,
2026-09-12T13:47:19.741598+00:00,201,282.36,
2026-09-12T13:47:19.766579+00:00,201,300.09,
2026-09-12T13:47:19.764645+00:00,201,306.05,
2026-09-12T13:47:19.775228+00:00,201,301.68,
2026-09-12T13:47:19.779552+00:00,201,304.48,
2026-09-12T13:47:19.788735+00:00,201,314.69,
2026-09-12T13:47:19.796658+00:00,201,323.25,
2026-09-12T13:47:19.807608+00:00,201,324.27,
2026-09-12T13:47:19.826708+00:00,201,342.92,
2026-09-12T13:47:19.828364+00:00,201,356.47,
2026-09-12T13:47:19.873687+00:00,201,373.83,
2026-09-12T13:47:19.888212+00:00,201,374.39,
2026-09-12T13:47:19.899966+00:00,201,376.99,
2026-09-12T13:47:19.897638+00:00,201,392.87,
2026-09-12T13:47:19.931613+00:00,201,399.67,
2026-09-12T13:47:19.935695+00:00,201,399.56,
2026-09-12T13:47:19.929413+00:00,201,411.22,
2026-09-12T13:47:19.957241+00:00,201,394.95,
2026-09-12T13:47:19.959573+00:00,201,407.58,
2026-09-12T13:47:19.974650+00:00,201,401.66,
2026-09-12T13:47:19.978922+00:00,201,404.93,
