timestamp_iso,status_code,latency_ms,error
2026-09-12T13:00:15.657673+00:00,200,68.47,
2026-09-12T13:00:15.642840+00:00,200,85.9,
2026-09-12T13:00:15.654089+00:00,200,77.26,
2026-09-12T13:00:15.690898+00:00,200,57.36,
2026-09-12T13:00:15.726184+00:00,200,26.57,
2026-09-12T13:00:15.731355+00:00,200,24.2,
2026-09-12T13:00:15.728732+00:00,200,28.97,
2026-09-12T13:00:15.705782+00:00,200,65.85,
2026-09-12T13:00:15.757712+00:00,200,21.02,
2026-09-12T13:00:15.755560+00:00,200,28.92,
2026-09-12T13:00:15.748279+00:00,200,40.39,
2026-09-12T13:00:15.752770+00:00,200,39.9,
2026-09-12T13:00:15.771648+00:00,200,27.08,
2026-09-12T13:00:15.721003+00:00,200,84.97,
2026-09-12T13:00:15.778749+00:00,200,30.47,
2026-09-12T13:00:15.784496+00:00,200,40.08,
2026-09-12T13:00:15.744341+00:00,200,85.67,
2026-09-12T13:00:15.792691+00:00,200,38.67,
2026-09-12T13:00:15.788690+00:00,200,44.36,
2026-09-12T13:00:15.780004+00:00,200,58.57,
2026-09-12T13:00:15.758344+00:00,200,82.18,
2026-09-12T13:00:15.805990+00:00,200,37.47,
2026-09-12T13:00:15.798752+00:00,200,48.33,
2026-09-12T13:00:15.831382+00:00,200,33.82,
2026-09-12T13:00:15.830019+00:00,200,40.42,
2026-09-12T13:00:15.801170+00:00,200,71.65,
2026-09-12T13:00:15.824600+00:00,200,52.19,
2026-09-12T13:00:15.809236+00:00,200,69.56,
2026-09-12T13:00:15.833058+00:00,200,49.59,
2026-09-12T13:00:15.847095+00:00,200,38.9,
2026-09-12T13:00:15.843472+00:00,200,48.38,
2026-09-12T13:00:15.821976+00:00,200,71.09,
2026-09-12T13:00:15.838582+00:00,200,57.66,
2026-09-12T13:00:15.845383+00:00,200,54.26,
2026-09-12T13:00:15.865225+00:00,200,40.03,
2026-09-12T13:00:15.859777+00:00,200,53.05,
2026-09-12T13:00:15.876804+00:00,200,41.03,
2026-09-12T13:00:15.878807+00:00,200,44.61,
2026-09-12T13:00:15.896252+00:00,200,33.23,
2026-09-12T13:00:15.886004+00:00,200,47.63,
2026-09-12T13:00:15.840539+00:00,200,94.06,
2026-09-12T13:00:15.901242+00:00,200,34.27,
2026-09-12T13:00:15.905263+00:00,200,33.26,
2026-09-12T13:00:15.893073+00:00,200,52.79,
2026-09-12T13:00:15.912848+00:00,200,35.78,
2026-09-12T13:00:15.917844+00:00,200,33.84,
2026-09-12T13:00:15.923430+00:00,200,39.02,
2026-09-12T13:00:15.933646+00:00,200,33.84,
2026-09-12T13:00:15.929497+00:00,200,42.13,
2026-09-12T13:00:15.938531+00:00,200,42.62,
2026-09-12T13:00:15.943613+00:00,200,40.97,
2026-09-12T13:00:15.948636+00:00,200,41.07,
2026-09-12T13:00:15.951686+00:00,200,39.0,
2026-09-12T13:00:15.934606+00:00,200,62.92,
2026-09-12T13:00:15.962469+00:00,200,39.83,
2026-09-12T13:00:15.967492+00:00,200,51.47,
2026-09-12T13:00:15.882663+00:00,200,144.96,
2026-09-12T13:00:15.981165+00:00,200,55.17,
2026-09-12T13:00:15.990690+00:00,200,59.31,
2026-09-12T13:00:15.989718+00:00,200,61.7,
2026-09-12T13:00:15.997536+00:00,200,62.25,
2026-09-12T13:00:16.002309+00:00,200,65.22,
