timestamp_iso,status_code,latency_ms,error
2026-09-11T18:15:43.142169+00:00,200,78.49,
2026-09-11T18:15:43.185522+00:00,200,48.93,
2026-09-11T18:15:43.220672+00:00,200,19.15,
2026-09-11T18:15:43.234463+00:00,200,21.14,
2026-09-11T18:15:43.235367+00:00,200,25.81,
2026-09-11T18:15:43.255617+00:00,200,21.96,
2026-09-11T18:15:43.261194+00:00,200,28.55,
2026-09-11T18:15:43.277590+00:00,200,25.63,
2026-09-11T18:15:43.239825+00:00,200,65.36,
2026-09-11T18:15:43.289751+00:00,200,35.69,
2026-09-11T18:15:43.303232+00:00,200,25.33,
2026-09-11T18:15:43.305196+00:00,200,26.43,
2026-09-11T18:15:43.325467+00:00,200,26.33,
2026-09-11T18:15:43.328570+00:00,200,26.81,
2026-09-11T18:15:43.288513+00:00,200,68.96,
2026-09-11T18:15:43.331639+00:00,200,28.99,
2026-09-11T18:15:43.355391+00:00,200,26.79,
2026-09-11T18:15:43.351809+00:00,200,32.62,
2026-09-11T18:15:43.357485+00:00,200,30.45,
2026-09-11T18:15:43.360645+00:00,200,28.19,
2026-09-11T18:15:43.341580+00:00,200,54.08,
2026-09-11T18:15:43.382199+00:00,200,27.59,
2026-09-11T18:15:43.388842+00:00,200,23.1,
2026-09-11T18:15:43.387940+00:00,200,25.71,
2026-09-11T18:15:43.384430+00:00,200,31.24,
2026-09-11T18:15:43.395676+00:00,200,23.34,
2026-09-11T18:15:43.409808+00:00,200,29.27,
2026-09-11T18:15:43.411956+00:00,200,28.08,
2026-09-11T18:15:43.413663+00:00,200,30.36,
2026-09-11T18:15:43.415676+00:00,200,29.27,
2026-09-11T18:15:43.419027+00:00,200,26.78,
2026-09-11T18:15:43.389431+00:00,200,59.59,
2026-09-11T18:15:43.439091+00:00,200,26.4,
2026-09-11T18:15:43.440045+00:00,200,28.25,
2026-09-11T18:15:43.444036+00:00,200,26.48,
2026-09-11T18:15:43.444954+00:00,200,29.36,
2026-09-11T18:15:43.445813+00:00,200,30.18,
2026-09-11T18:15:43.435314+00:00,200,43.27,
2026-09-11T18:15:43.478589+00:00,200,20.71,
2026-09-11T18:15:43.476002+00:00,200,26.91,
2026-09-11T18:15:43.468303+00:00,200,35.51,
2026-09-11T18:15:43.465511+00:00,200,39.12,
2026-09-11T18:15:43.470523+00:00,200,37.52,
2026-09-11T18:15:43.474331+00:00,200,34.6,
2026-09-11T18:15:43.449027+00:00,200,62.85,
2026-09-11T18:15:43.499310+00:00,200,35.7,
2026-09-11T18:15:43.502921+00:00,200,39.14,
2026-09-11T18:15:43.503816+00:00,200,40.5,
2026-09-11T18:15:43.508933+00:00,200,42.19,
2026-09-11T18:15:43.508047+00:00,200,44.68,
2026-09-11T18:15:43.498040+00:00,200,57.4,
2026-09-11T18:15:43.504633+00:00,200,51.77,
2026-09-11T18:15:43.535037+00:00,200,29.55,
2026-09-11T18:15:43.511889+00:00,200,70.18,
2026-09-11T18:15:43.544330+00:00,200,41.78,
2026-09-11T18:15:43.552739+00:00,200,34.39,
2026-09-11T18:15:43.542090+00:00,200,47.14,
2026-09-11T18:15:43.551144+00:00,200,41.5,
2026-09-11T18:15:43.555447+00:00,200,38.16,
2026-09-11T18:15:43.536384+00:00,200,60.01,
2026-09-11T18:15:43.556412+00:00,200,44.12,
2026-09-11T18:15:43.582098+00:00,200,37.23,
2026-09-11T18:15:43.586119+00:00,200,38.62,
2026-09-11T18:15:43.600543+00:00,200,30.89,
2026-09-11T18:15:43.592655+00:00,200,42.53,
2026-09-11T18:15:43.596407+00:00,200,42.19,
2026-09-11T18:15:43.564603+00:00,200,78.94,
2026-09-11T18:15:43.593617+00:00,200,51.22,
2026-09-11T18:15:43.587136+00:00,200,61.1,
2026-09-11T18:15:43.591349+00:00,200,60.43,
2026-09-11T18:15:43.619346+00:00,200,35.62,
2026-09-11T18:15:43.624759+00:00,200,36.41,
2026-09-11T18:15:43.589234+00:00,200,73.85,
2026-09-11T18:15:43.631452+00:00,200,36.51,
2026-09-11T18:15:43.635202+00:00,200,37.5,
2026-09-11T18:15:43.638610+00:00,200,41.37,
2026-09-11T18:15:43.643560+00:00,200,44.41,
2026-09-11T18:15:43.651798+00:00,200,37.58,
2026-09-11T18:15:43.648258+00:00,200,42.61,
2026-09-11T18:15:43.654978+00:00,200,42.3,
2026-09-11T18:15:43.661194+00:00,200,41.6,
2026-09-11T18:15:43.644851+00:00,200,59.84,
2026-09-11T18:15:43.667985+00:00,200,41.45,
2026-09-11T18:15:43.672718+00:00,200,40.58,
2026-09-11T18:15:43.639510+00:00,200,84.22,
2026-09-11T18:15:43.680002+00:00,200,50.51,
2026-09-11T18:15:43.687997+00:00,200,49.59,
2026-09-11T18:15:43.690886+00:00,200,50.79,
2026-09-11T18:15:43.702808+00:00,200,64.34,
2026-09-11T18:15:43.697299+00:00,200,76.18,
2026-09-11T18:15:43.689390+00:00,200,85.68,
2026-09-11T18:15:43.713315+00:00,200,67.35,
2026-09-11T18:15:43.709450+00:00,200,89.92,
2026-09-11T18:15:43.663100+00:00,200,147.23,
2026-09-11T18:15:43.692433+00:00,200,120.16,
2026-09-11T18:15:43.754054+00:00,200,72.58,
2026-09-11T18:15:43.730534+00:00,200,107.95,
2026-09-11T18:15:43.780683+00:00,200,65.05,
2026-09-11T18:15:43.773490+00:00,200,77.08,
2026-09-11T18:15:43.767169+00:00,200,93.01,
2026-09-11T18:15:43.799394+00:00,200,62.67,
2026-09-11T18:15:43.741701+00:00,200,127.24,
2026-09-11T18:15:43.723749+00:00,200,150.44,
2026-09-11T18:15:43.826647+00:00,200,56.04,
2026-09-11T18:15:43.775567+00:00,200,118.63,
2026-09-11T18:15:43.838499+00:00,200,57.05,
2026-09-11T18:15:43.845756+00:00,200,58.7,
2026-09-11T18:15:43.860200+00:00,200,49.75,
2026-09-11T18:15:43.868954+00:00,200,48.68,
2026-09-11T18:15:43.882706+00:00,200,44.19,
2026-09-11T18:15:43.800459+00:00,200,128.19,
2026-09-11T18:15:43.895563+00:00,200,43.58,
2026-09-11T18:15:43.812611+00:00,200,131.8,
2026-09-11T18:15:43.904476+00:00,200,46.0,
2026-09-11T18:15:43.909965+00:00,200,49.67,
2026-09-11T18:15:43.917658+00:00,200,46.02,
2026-09-11T18:15:43.893731+00:00,200,79.01,
2026-09-11T18:15:43.926912+00:00,200,47.38,
2026-09-11T18:15:43.939160+00:00,200,43.39,
2026-09-11T18:15:43.850584+00:00,200,135.48,
2026-09-11T18:15:43.950486+00:00,200,46.64,
2026-09-11T18:15:43.959655+00:00,200,44.5,
2026-09-11T18:15:43.854484+00:00,200,156.12,
2026-09-11T18:15:43.982564+00:00,200,39.66,
2026-09-11T18:15:43.704705+00:00,200,318.91,
2026-09-11T18:15:43.974303+00:00,200,56.79,
2026-09-11T18:15:43.997144+00:00,200,39.44,
2026-09-11T18:15:44.004173+00:00,200,38.62,
2026-09-11T18:15:44.010621+00:00,200,44.21,
2026-09-11T18:15:43.737611+00:00,200,323.78,
2026-09-11T18:15:44.022246+00:00,200,44.28,
2026-09-11T18:15:43.896884+00:00,200,180.07,
2026-09-11T18:15:44.036605+00:00,200,49.29,
2026-09-11T18:15:44.042811+00:00,200,44.33,
2026-09-11T18:15:43.928669+00:00,200,165.68,
2026-09-11T18:15:44.054858+00:00,200,46.46,
2026-09-11T18:15:44.061409+00:00,200,57.7,
2026-09-11T18:15:44.066542+00:00,200,54.56,
2026-09-11T18:15:44.076984+00:00,200,59.1,
2026-09-11T18:15:44.085913+00:00,200,56.66,
2026-09-11T18:15:44.087153+00:00,200,57.29,
2026-09-11T18:15:44.094369+00:00,200,62.23,
2026-09-11T18:15:44.101343+00:00,200,57.24,
2026-09-11T18:15:44.119134+00:00,200,49.68,
2026-09-11T18:15:43.862078+00:00,200,312.38,
2026-09-11T18:15:44.121117+00:00,200,54.99,
2026-09-11T18:15:43.944431+00:00,200,242.77,
2026-09-11T18:15:44.136094+00:00,200,52.73,
2026-09-11T18:15:44.144457+00:00,200,59.68,
2026-09-11T18:15:44.142595+00:00,200,62.88,
2026-09-11T18:15:44.156622+00:00,200,57.08,
2026-09-11T18:15:44.158598+00:00,200,56.75,
2026-09-11T18:15:44.168832+00:00,200,52.44,
2026-09-11T18:15:44.176118+00:00,200,50.77,
2026-09-11T18:15:44.044168+00:00,200,190.04,
2026-09-11T18:15:44.188838+00:00,200,50.6,
2026-09-11T18:15:44.198644+00:00,200,46.56,
2026-09-11T18:15:44.204158+00:00,200,50.28,
2026-09-11T18:15:43.992133+00:00,200,274.72,
2026-09-11T18:15:44.226903+00:00,200,48.05,
2026-09-11T18:15:44.234230+00:00,200,51.07,
2026-09-11T18:15:44.245217+00:00,200,48.81,
